"","bmi","exercise","TurkMaster","agecat","race_cat","female","income_cat"
"68",32.2638282775879,0,0,1,1,0,1
"69",24.9610500335693,1,0,1,3,1,1
"70",26.3865489959717,1,0,2,1,0,2
"71",22.3777942657471,1,0,2,1,0,4
"72",28.1916980743408,1,0,3,2,0,3
"73",21.7893486022949,1,0,2,4,0,3
"74",41.9646682739258,1,0,2,1,1,5
"75",22.1067314147949,1,0,1,2,1,1
"76",28.3419628143311,1,0,2,1,0,3
"77",23.7523498535156,1,0,1,1,0,1
"78",22.9573726654053,1,0,1,1,0,3
"79",22.5963611602783,0,0,4,1,1,1
"80",19.9203033447266,1,0,4,1,1,1
"81",18.3091049194336,1,0,1,1,0,1
"82",21.5225391387939,1,0,1,1,0,1
"83",21.7893486022949,0,0,1,4,0,3
"84",18.1311321258545,1,0,1,1,0,1
"85",28.480827331543,0,0,2,4,0,2
"86",33.473705291748,1,0,3,1,0,1
"87",23.7359027862549,1,0,1,1,0,4
"88",21.1092376708984,1,0,1,1,0,3
"89",21.6178894042969,0,0,1,1,1,3
"90",26.5810832977295,1,0,2,1,0,3
"91",25.8423900604248,1,0,1,1,1,3
"92",27.9793014526367,1,0,3,2,1,2
"93",27.1967010498047,1,0,1,1,0,4
"94",21.6996784210205,1,0,1,1,0,1
"95",23.7099437713623,1,0,2,1,0,4
"96",23.9139289855957,1,0,2,1,1,3
"97",36.3972015380859,1,0,2,1,1,4
"98",20.3711261749268,1,0,3,1,1,1
"99",18.4705848693848,1,0,1,1,0,3
"100",20.7254066467285,1,0,4,1,1,4
"101",28.1227836608887,1,0,2,3,0,3
"102",33.6734161376953,1,0,2,1,1,4
"103",25.1043548583984,1,0,2,1,0,1
"104",26.4334087371826,1,0,1,3,0,1
"105",35.2619781494141,0,0,3,1,0,1
"106",21.6329097747803,1,0,1,1,0,1
"107",20.2311573028564,1,0,2,1,1,1
"108",20.8051204681396,0,0,2,1,0,1
"109",20.3606700897217,0,0,2,1,0,1
"110",18.6528663635254,1,0,3,1,1,2
"111",28.0350742340088,1,0,2,1,1,4
"112",20.6233749389648,1,0,2,4,0,4
"113",23.2969799041748,1,0,2,5,1,1
"114",26.3865489959717,1,0,1,1,0,4
"115",22.3777942657471,1,0,1,1,0,1
"116",35.9495010375977,1,0,2,1,0,3
"117",19.485424041748,1,0,4,1,1,5
"118",26.8303909301758,0,0,1,1,1,1
"119",20.7841053009033,1,0,2,2,1,3
"120",19.3683090209961,1,0,4,3,0,1
"121",24.3276653289795,1,0,1,1,1,1
"122",23.7099437713623,1,0,1,1,0,1
"123",31.0112609863281,1,0,3,1,0,3
"124",23.1724605560303,1,0,4,5,1,1
"125",22.8071880340576,0,0,1,1,0,1
"126",24.4121398925781,1,0,3,1,0,3
"127",22.8071880340576,1,0,2,1,0,4
"128",29.5824165344238,1,0,4,1,1,4
"129",29.2890701293945,1,0,4,1,0,1
"130",26.4993476867676,1,0,1,1,0,1
"131",29.2887516021729,1,0,1,1,1,1
"132",24.6613368988037,1,0,2,4,0,3
"133",28.3531551361084,1,0,2,1,0,1
"134",26.4993476867676,1,0,4,1,0,1
"135",20.9410381317139,1,0,1,1,1,2
"136",35.5085678100586,1,0,1,1,0,1
"137",25.0592842102051,1,0,4,1,1,3
"138",38.772216796875,1,0,1,2,1,2
"139",26.5444641113281,1,0,2,1,0,2
"140",27.2770366668701,1,0,1,1,0,3
"141",22.8892650604248,1,0,1,1,0,1
"142",23.2969799041748,1,0,1,1,1,4
"143",33.7186431884766,0,0,4,1,0,1
"144",24.2761821746826,0,0,2,3,0,1
"145",21.8555545806885,1,0,3,1,0,1
"146",20.5977420806885,1,0,4,1,1,2
"147",20.3606700897217,1,0,2,1,1,1
"148",23.7099437713623,0,0,2,1,0,5
"149",27.4350776672363,1,0,1,1,1,2
"150",35.5429916381836,1,0,2,1,0,1
"151",20.5265026092529,1,0,3,1,0,2
"152",31.1766796112061,1,0,3,1,1,1
"153",28.3419628143311,1,0,2,1,1,1
"154",21.6329097747803,0,0,1,1,1,1
"155",30.1315517425537,1,0,1,3,0,2
"156",29.4052772521973,1,0,1,2,1,2
"157",29.98610496521,1,0,2,1,0,3
"158",27.1245994567871,1,0,1,1,0,3
"159",31.1761589050293,1,0,2,1,1,3
"160",23.7340240478516,1,0,4,1,0,1
"161",21.9268760681152,1,0,4,1,0,3
"162",25.768367767334,0,0,1,1,0,1
"163",26.2479305267334,1,0,2,1,0,1
"164",23.6747932434082,1,0,2,1,0,4
"165",26.7789649963379,0,0,2,1,0,4
"166",19.93581199646,1,0,1,1,1,2
"167",26.9621257781982,1,0,1,1,0,1
"168",33.3816795349121,1,0,2,1,0,4
"169",41.0123863220215,1,0,1,1,1,3
"170",29.1589450836182,1,0,3,1,0,4
"171",25.9188251495361,NA,0,1,1,1,1
"172",26.6083831787109,0,0,2,1,0,1
"173",28.1916980743408,1,0,2,1,0,1
"174",26.5710334777832,1,0,2,1,1,4
"175",22.3142204284668,1,0,1,1,1,1
"176",32.6903038024902,1,0,2,1,1,2
"177",18.7944641113281,1,0,2,1,0,1
"178",19.1580371856689,0,0,1,4,1,2
"179",25.8244113922119,1,0,4,1,0,1
"180",17.7542839050293,0,0,1,1,1,3
"181",32.280517578125,1,0,3,1,1,4
"182",33.1252212524414,0,0,1,1,0,1
"183",29.2640800476074,0,0,2,1,1,3
"184",24.4072933197021,1,0,4,1,0,4
"185",19.9688396453857,1,0,2,4,0,4
"186",21.1437721252441,1,0,1,1,0,1
"187",22.8625640869141,1,0,1,1,1,1
"188",31.0112609863281,0,0,2,3,1,3
"189",23.088228225708,1,0,1,1,1,4
"190",27.1967010498047,1,0,1,1,0,4
"191",19.3702850341797,1,0,1,1,0,3
"192",23.055908203125,1,0,2,4,0,4
"193",36.262264251709,1,0,2,1,1,3
"194",23.5674266815186,0,0,1,1,0,1
"195",30.6834564208984,0,0,2,3,0,3
"196",23.2969799041748,1,0,1,4,0,2
"197",42.585620880127,1,0,2,1,0,3
"198",24.4075565338135,1,0,2,1,0,3
"199",29.8370590209961,0,0,2,1,0,2
"200",25.7471771240234,1,0,3,1,1,3
