"gender","age","higher_edu","income_chng","polinterest","home_child","income","infection","self_esteem","pol_participation","pol_participation_past"
1,49,1,4,2,1,2,0,2,0,0
0,64,0,3,3,0,2,0,3,0,0
1,49,1,3,2,0,1,0,4,0,1
0,32,1,3,2,0,2,0,3,16,16
0,56,0,2,1,0,2,0,3,0,0
0,61,0,2,4,0,2,0,5,0,0
1,19,1,3,3,0,1,0,4,6,10
1,37,1,2,3,0,1,0,4,0,0
0,63,0,2,2,0,3,0,3,0,0
1,53,0,3,3,0,1,0,2,0,0
1,22,0,4,3,0,2,0,3,16,16
0,39,0,4,3,0,2,0,2,1,0
0,28,1,3,2,0,3,0,3,0,0
1,41,1,3,2,1,2,0,3,1,1
0,57,0,3,2,0,4,0,3,3,2
0,30,0,2,3,0,1,0,3,18,12
1,20,1,2,2,0,2,0,2,5,2
1,37,0,2,4,0,2,0,3,1,0
0,29,0,1,2,1,1,0,4,0,0
1,29,0,2,2,0,2,0,5,4,2
0,45,0,3,3,0,2,0,5,0,0
0,52,0,3,1,0,3,0,1,0,0
0,65,0,2,3,0,2,0,2,5,7
1,66,0,3,3,0,2,0,4,0,0
0,22,1,5,4,0,2,0,2,3,1
0,54,0,3,1,0,3,0,2,0,0
0,58,0,3,3,0,2,0,3,0,1
1,30,1,2,3,0,3,0,2,8,10
1,37,0,5,2,0,1,0,4,0,0
1,29,0,3,3,0,2,0,2,16,18
0,41,1,3,3,0,2,0,3,3,2
0,54,1,4,3,0,1,0,3,0,0
1,32,1,3,2,0,1,0,3,16,0
1,68,0,3,3,0,2,0,2,3,3
0,57,1,2,2,0,2,0,3,0,0
0,65,0,3,3,0,3,0,5,0,0
0,65,0,3,2,0,3,0,3,0,0
0,50,0,3,3,0,2,0,3,0,0
0,51,1,2,3,0,3,0,3,8,8
0,48,1,3,3,0,1,0,3,0,0
0,59,1,3,3,0,2,0,3,0,0
1,62,1,3,3,0,3,0,5,0,0
1,26,1,3,2,0,1,0,3,4,2
1,43,1,3,4,0,2,0,3,4,4
0,63,0,3,2,0,2,0,4,0,0
0,52,0,1,1,0,3,0,1,0,0
0,62,0,3,3,0,1,0,5,0,0
0,50,0,3,3,0,2,0,4,0,0
1,63,0,3,3,0,3,0,4,6,6
0,29,1,3,3,0,3,0,3,0,0
